iter	Logloss
0	0.6434292553
1	0.602183275
2	0.5784772371
3	0.5622610279
4	0.5453539387
5	0.536981067
6	0.5250166532
7	0.516726621
8	0.5070240268
9	0.4985057351
10	0.4910430218
11	0.4865484611
12	0.4817147255
13	0.4791326719
14	0.4726280186
15	0.4674412602
16	0.4641938638
17	0.4617404446
18	0.4571874466
19	0.4547772608
20	0.4524697911
21	0.4483504058
22	0.4435330972
23	0.4401128866
24	0.4365894728
25	0.4352900474
26	0.4319830299
27	0.4301895478
28	0.4276823085
29	0.4256321298
30	0.4240101064
31	0.4228249602
32	0.4208041107
33	0.4183449968
34	0.4161316078
35	0.4141932455
36	0.4124666659
37	0.4117267231
38	0.4106527682
39	0.4097793925
40	0.4089155833
41	0.4062453261
42	0.4051920103
43	0.4038312114
44	0.402942637
45	0.4017298651
46	0.3995664493
47	0.3986347763
48	0.3978143214
49	0.3962554791
50	0.3948116014
51	0.3942619593
52	0.393355367
53	0.3919372814
54	0.3908441061
55	0.3900260861
56	0.3881228106
57	0.3866182761
58	0.3854017059
59	0.3847169182
60	0.3837944273
61	0.3831095872
62	0.3826398413
63	0.381931566
64	0.3800984755
65	0.3787275685
66	0.3780506144
67	0.3766923054
68	0.3758199087
69	0.3750532898
70	0.3744307711
71	0.3734400816
72	0.3727260368
73	0.3718858791
74	0.3706781833
75	0.3701444148
76	0.3694921051
77	0.3686390462
78	0.3679852484
79	0.3667792297
80	0.3659015767
81	0.3650043678
82	0.3643076775
83	0.3627803314
84	0.3619735246
85	0.3609205618
86	0.3602940786
87	0.3595182489
88	0.3588127406
89	0.3581360864
90	0.3573721915
91	0.3568523634
92	0.3563816661
93	0.3557849943
94	0.3552730313
95	0.3548054905
96	0.3536589315
97	0.3530481959
98	0.3523996564
99	0.3519065782
100	0.3514031191
101	0.3507473396
102	0.3500065124
103	0.3495524524
104	0.3491322254
105	0.3486541212
106	0.3483114858
107	0.3477431736
108	0.346877535
109	0.3464462037
110	0.346052672
111	0.3451423564
112	0.3447897923
113	0.3443280622
114	0.3438402191
115	0.3430767071
116	0.3425065583
117	0.3419430716
118	0.3414441088
119	0.3409622672
120	0.3402221917
121	0.339828064
122	0.3393703612
123	0.3389065576
124	0.3382943398
125	0.3379598554
126	0.3374184641
127	0.3368699059
128	0.3364216053
129	0.3359209304
130	0.3355132259
131	0.3347624829
132	0.3342762993
133	0.3338498196
134	0.3334856211
135	0.3330837193
136	0.3328387643
137	0.3319165644
138	0.3311525026
139	0.3308652245
140	0.3306730509
141	0.3304262605
142	0.3300620737
143	0.3296900689
144	0.3292080622
145	0.3288995125
146	0.328423259
147	0.3278363772
148	0.3273887039
149	0.3271021134
150	0.3267184998
151	0.3263847435
152	0.3259546925
153	0.3254068363
154	0.3251468196
155	0.3247757682
156	0.3243196923
157	0.3239400145
158	0.3234975154
159	0.3231676167
160	0.3227538006
161	0.3219698971
162	0.3217058264
163	0.3210626977
164	0.3207559337
165	0.3206087738
166	0.3202758148
167	0.319913597
168	0.3193136643
169	0.3188496978
170	0.3183547766
171	0.3180912023
172	0.317663647
173	0.3173214364
174	0.3169518465
175	0.3165815404
176	0.3162612668
177	0.3159055522
178	0.3156279661
179	0.3150715
180	0.3144096257
181	0.3141091344
182	0.3137463856
183	0.313426563
184	0.3130384998
185	0.3124817249
186	0.3121941277
187	0.3118741549
188	0.3115860565
189	0.3115836023
190	0.3110977408
191	0.3107434752
192	0.3105132355
193	0.3101658133
194	0.3097897341
195	0.3097477454
196	0.3097436948
197	0.3096802865
198	0.3093479596
199	0.3090617844
200	0.3087847708
201	0.3087836112
202	0.3085651475
203	0.3084280104
204	0.307825814
205	0.3075895265
206	0.3071215758
207	0.3068868033
208	0.3067264589
209	0.3062506793
210	0.3057603903
211	0.3054416433
212	0.3051491617
213	0.3049110899
214	0.3043725836
215	0.3040497453
216	0.3039076547
217	0.3035095055
218	0.3032270885
219	0.3028695005
220	0.3026343022
221	0.3022717186
222	0.301930611
223	0.3018493703
224	0.3014923374
225	0.3012164253
226	0.3006756423
227	0.3002885003
228	0.2999297748
229	0.2997290798
230	0.2994633576
231	0.2990348843
232	0.2987910866
233	0.2985007896
234	0.2980656261
235	0.2975698749
236	0.2973540256
237	0.2971514449
238	0.2968149264
239	0.2965621605
240	0.2962391507
241	0.2958681285
242	0.2955838132
243	0.2952488744
244	0.2949027976
245	0.2948997446
246	0.2946061533
247	0.294323148
248	0.294103203
249	0.2941004326
250	0.2939201025
251	0.2939184068
252	0.2936371362
253	0.2932624142
254	0.2930365004
255	0.292675139
256	0.2923646829
257	0.2923196262
258	0.2920839072
259	0.2918211206
260	0.2915025065
261	0.2912062743
262	0.2909140382
263	0.2909132361
264	0.290803035
265	0.2904737509
266	0.2900986394
267	0.2898485201
268	0.2896293946
269	0.2893048903
270	0.2889403284
271	0.2887450269
272	0.2884888941
273	0.2881853101
274	0.2879606826
275	0.2876592929
276	0.2872707297
277	0.2869960446
278	0.2866747699
279	0.2864629485
280	0.2864594721
281	0.2861686044
282	0.2857856946
283	0.2855266085
284	0.2852515349
285	0.2849707488
286	0.2847163452
287	0.2844016492
288	0.2843161641
289	0.2839718214
290	0.2836457581
291	0.2833878669
292	0.2833155107
293	0.2829561584
294	0.2827473415
295	0.282700582
296	0.2824698552
297	0.2823002285
298	0.2820148921
299	0.2815476514
300	0.2813148689
301	0.2808338957
302	0.2805918773
303	0.2803199633
304	0.2800826023
305	0.279783437
306	0.2797606232
307	0.2795883765
308	0.2792396856
309	0.2789344545
310	0.2786520596
311	0.2784795866
312	0.2782246526
313	0.2779985589
314	0.277868371
315	0.2776185524
316	0.2771780081
317	0.2770937515
318	0.2767497726
319	0.2764918392
320	0.2762383457
321	0.2759808537
322	0.2757514683
323	0.2755309505
324	0.2752441509
325	0.275155606
326	0.275027207
327	0.2747221679
328	0.2745492436
329	0.2743056292
330	0.2740845756
331	0.2738361898
332	0.2735669852
333	0.2734406343
334	0.2731569924
335	0.2728808323
336	0.2726443038
337	0.2724863877
338	0.2722270813
339	0.2719960055
340	0.2717549021
341	0.2715520577
342	0.2713600799
343	0.2711591748
344	0.2709242108
345	0.2706139187
346	0.2703525411
347	0.2701623488
348	0.269951683
349	0.2698201246
350	0.269619267
351	0.2693497014
352	0.2691286143
353	0.2689142613
354	0.2686260021
355	0.2685418514
356	0.2684285556
357	0.2680847263
358	0.2677064494
359	0.2674143162
360	0.2671862732
361	0.2669320706
362	0.2668795013
363	0.2666838867
364	0.2663499358
365	0.2661015559
366	0.2658320515
367	0.2655394304
368	0.2653727551
369	0.2651172642
370	0.2647522092
371	0.2644775054
372	0.2644069988
373	0.2642238334
374	0.2638412837
375	0.2638384227
376	0.2635754523
377	0.2632560089
378	0.2630564412
379	0.2628101767
380	0.2624316366
381	0.2622545775
382	0.2619953619
383	0.2618191923
384	0.261551693
385	0.2613066984
386	0.2610627088
387	0.2608737492
388	0.2606777632
389	0.260410645
390	0.2601996008
391	0.2599813298
392	0.2597089014
393	0.2595143964
394	0.259307038
395	0.2590315714
396	0.2586717412
397	0.2584442846
398	0.2582094514
399	0.2578625067
400	0.2576574946
401	0.2574287544
402	0.2572315127
403	0.2568767722
404	0.2566857321
405	0.2563667517
406	0.2561412961
407	0.2557298494
408	0.2555713204
409	0.2553883921
410	0.2551565883
411	0.2548506881
412	0.2544864747
413	0.2542155749
414	0.2539457545
415	0.2536908541
416	0.2534850478
417	0.2532735518
418	0.2529603478
419	0.2527502234
420	0.252717489
421	0.2524509274
422	0.2522084607
423	0.2519172381
424	0.2516255324
425	0.251368281
426	0.2511769172
427	0.2509951838
428	0.2507932498
429	0.250630969
430	0.2504756077
431	0.2502431935
432	0.2500247725
433	0.249739437
434	0.2495265799
435	0.2492946735
436	0.2490639199
437	0.2488153074
438	0.2488120868
439	0.2486040339
440	0.2482911556
441	0.2479165778
442	0.2478214759
443	0.2476143822
444	0.2473765692
445	0.2471525126
446	0.2469990707
447	0.2467011238
448	0.24658982
449	0.2463572757
450	0.2461266914
451	0.2459077086
452	0.2456683303
453	0.2455244524
454	0.2451778461
455	0.2450341922
456	0.2448262123
457	0.2445971423
458	0.2445273487
459	0.2444137223
