iter	Passed	Remaining
0	66	33943
1	126	32169
2	175	29831
3	227	28873
4	276	28020
5	322	27196
6	376	27166
7	431	27162
8	484	27072
9	539	27063
10	596	27177
11	648	27010
12	705	27070
13	764	27190
14	819	27146
15	878	27232
16	938	27314
17	993	27276
18	1049	27229
19	1110	27309
20	1261	29484
21	1686	37554
22	1765	37543
23	1826	37140
24	1888	36783
25	1943	36324
26	1995	35845
27	2073	35837
28	2141	35658
29	2210	35519
30	2329	36143
31	2483	37256
32	2612	37917
33	2737	38483
34	2840	38717
35	2904	38401
36	2962	38035
37	3045	37988
38	3117	37812
39	3191	37659
40	3274	37616
41	3341	37390
42	3412	37216
43	3480	37024
44	3559	36943
45	3625	36725
46	3697	36582
47	3760	36347
48	3819	36089
49	3881	35864
50	3942	35632
51	3999	35382
52	4063	35191
53	4122	34967
54	4190	34815
55	4249	34604
56	4309	34399
57	4367	34183
58	4428	34002
59	4489	33820
60	4553	33662
61	4610	33465
62	4669	33275
63	4732	33124
64	4790	32941
65	4849	32772
66	4908	32600
67	4963	32408
68	5023	32253
69	5085	32111
70	5142	31940
71	5204	31802
72	5256	31611
73	5312	31444
74	5367	31274
75	5423	31115
76	5479	30957
77	5535	30802
78	5595	30669
79	5650	30512
80	5709	30382
81	5773	30278
82	5860	30290
83	5949	30313
84	6232	31307
85	6302	31221
86	6358	31059
87	6422	30945
88	6482	30811
89	6547	30700
90	6610	30584
91	6666	30432
92	6725	30299
93	6783	30166
94	6845	30049
95	6899	29897
96	6958	29769
97	7017	29646
98	7071	29500
99	7130	29376
100	7183	29233
101	7243	29117
102	7295	28968
103	7349	28832
104	7416	28747
105	7468	28607
106	7529	28498
107	7586	28380
108	7658	28315
109	7717	28202
110	7851	28366
111	7962	28435
112	8062	28468
113	8149	28453
114	8230	28413
115	8291	28304
116	8347	28182
117	8428	28142
118	8503	28082
119	8570	27995
120	8635	27905
121	8703	27822
122	8768	27730
123	8831	27634
124	8892	27532
125	8955	27435
126	9015	27330
127	9075	27227
128	9138	27133
129	9199	27032
130	9265	26948
131	9322	26836
132	9381	26732
133	9434	26614
134	9496	26518
135	9554	26414
136	9622	26337
137	9681	26239
138	9741	26140
139	9799	26039
140	9857	25936
141	9929	25871
142	9994	25789
143	10062	25714
144	10134	25649
145	10217	25613
146	10292	25557
147	10356	25471
148	10421	25388
149	10485	25304
150	10542	25203
151	10604	25116
152	10667	25030
153	10731	24946
154	10787	24846
155	10845	24749
156	10914	24678
157	10976	24593
158	11032	24493
159	11090	24398
160	11153	24315
161	11204	24207
162	11262	24113
163	11314	24008
164	11383	23938
165	11440	23846
166	11502	23762
167	11573	23698
168	11633	23610
169	11696	23529
170	11753	23437
171	11809	23344
172	11869	23258
173	11933	23181
174	11994	23097
175	12056	23016
176	12109	22919
177	12163	22822
178	12218	22730
179	12277	22644
180	12331	22551
181	12392	22469
182	12448	22380
183	12506	22293
184	12562	22204
185	12620	22120
186	12674	22028
187	12728	21937
188	12787	21854
189	12839	21760
190	12898	21676
191	12957	21596
192	13014	21511
193	13075	21432
194	13129	21344
195	13183	21255
196	13229	21153
197	13274	21052
198	13325	20959
199	13383	20878
200	13434	20786
201	13480	20687
202	13543	20614
203	13595	20525
204	13654	20447
205	13708	20362
206	13762	20278
207	13815	20191
208	13865	20102
209	13931	20035
210	13990	19958
211	14048	19879
212	14111	19808
213	14165	19725
214	14220	19644
215	14278	19567
216	14328	19478
217	14384	19398
218	14443	19324
219	14500	19246
220	14554	19164
221	14611	19086
222	14665	19006
223	14723	18929
224	14784	18858
225	14841	18782
226	14894	18700
227	14967	18643
228	15034	18579
229	15087	18498
230	15140	18418
231	15200	18345
232	15253	18264
233	15311	18190
234	15369	18116
235	15424	18038
236	15482	17965
237	15536	17886
238	15592	17811
239	15646	17732
240	15695	17649
241	15751	17574
242	15811	17503
243	15865	17425
244	15919	17349
245	15966	17264
246	16039	17208
247	16107	17146
